ID;Utilitas ;Nama;X;Y;Alamat
1;Bandara;Bandara I Gusti Nguarah Rai;-8.746;115.166;Jalan Raya Gusti Ngurah Rai, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80362
2;Pelabuhan;Pelabuhan Gilimanuk;-8.162;114.436;Gilimanuk, Kec. Melaya, Kabupaten Jembrana, Bali 82252
3;Pelabuhan;Pelabuhan Benoa;-8.738;115.212;Jl. Raya Pelabuhan Benoa No.9, Pedungan, Denpasar Selatan, Kota Denpasar, Bali
4;Pelabuhan;Pelabuhan Padangbai;-8.534;115.509;Kec. Manggis, Kabupaten Karangasem, Bali 80871
5;Pelabuhan;Pelabuhan Buleleng;-8.103;115.088;Kampung Bugis, Kec. Buleleng, Kabupaten Buleleng, Bali 81114
6;Pelabuhan;Pelabuhan Celukan Bawang;-8.193;114.837;Jl. Pelabuhan Celukan Bawang No.35, Celukan Bawang, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155
7;Pelabuhan;Pelabuhan Amuk;-8.517;115.506;Jl. Raya Ulakan-Karangasem, Antiga, Kec. Manggis, Kabupaten Karangasem, Bali 80871
8;Pelabuhan;Pelabuhan Buyuk;-8.674;115.546;Kutampi Kaler, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771
9;Pelabuhan;Pelabuhan Sampalan ;-8.672;115.558;Batununggul, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771
10;Pelabuhan;Pelabuhan Toyapakeh ;-8.681;115.487;Kp. Toyapakeh, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771
11;Pelabuhan;Pelabuhan Bias Munjul;-8.687;115.459;Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771
12;Pelabuhan;Pelabuhan Tribuana;-8.559;115.457;Kusamba, Kec. Dawan, Kabupaten Klungkung, Bali 80761
13;Pelabuhan;Pelabuhan Jungutbatu Nusa Lembongan;-8.676;115.446;Gg. Nusa Indah, Jungutbatu, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771
14;Pelabuhan;Pelabuahan Prasi Sentana;-8.678;115.488;Ped, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771
15;Pelabuhan;Pelabuhan Sanur;-8.669;115.260;Jl. Matahari Terbit, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali
16;Terminal;Terminal Bus Gilimanuk;-8.163;114.436;Gilimanuk, Kec. Melaya, Kabupaten Jembrana, Bali 82252
17;Terminal;Terminal Bus Negara;-8.354;114.625;Dauhwaru, Kec. Negara, Kabupaten Jembrana, Bali 82218
18;Terminal;Terminal Kediri;-8.553;115.140;Jl. Ngurah Rai No.78, Banjar Anyar, Kec. Kediri, Kabupaten Tabanan, Bali 82121
19;Terminal;Terminal Ubung;-8.635;115.206;Jalan HOS. Cokroaminoto, Depensar, Bali 80116
20;Terminal;Terminal Mengwi;-8.559;115.167;Mengwitani, Kec. Mengwi, Kabupaten Badung, Bali
21;Terminal;Terminal Batubulan;-8.631;115.260;Batubulan, Kec. Gianyar, Kabupaten Gianyar, Bali 80582
22;Terminal;Terminal GOR Ngurah Rai;-8.649;115.223;Jl. WR Supratman No.1b, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80234
23;Terminal;Terminal Gianyar;-8.542;115.321;Jl. Anusapati No.80511, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali 80511
24;Terminal;Terminal Persiapan;-8.535;115.113;Jl. Terminal Pesiapan, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82114
25;Terminal;Terminal Karang Sokong;-8.452;115.596;Jl. Suropati, Subagan, Kec. Karangasem, Kabupaten Karangasem, Bali 80811
26;Terminal;Terminal Sukasada;-8.147;115.104;Sukasada, Kec. Sukasada, Kabupaten Buleleng, Bali 81161
27;Terminal;Terminal Penarukan;-8.093;115.118;Penarukan, Kec. Buleleng, Kabupaten Buleleng, Bali 81119
